"REF_DATE,""GEO"",""DGUID"",""Sex"",""Age group"",""Activity"",""Period of the week"",""Student response"",""UOM"",""UOM_ID"",""SCALAR_FACTOR"",""SCALAR_ID"",""VECTOR"",""COORDINATE"",""VALUE"",""STATUS"",""SYMBOL"",""TERMINATED"",""DECIMALS"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Watching television"",""Weekdays"",""None at all"",""Percent"",""239"",""units "",""0"",""v29816885"",""3.1.1.1.1.1"",""5"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Watching television"",""Weekdays"",""About half an hour"",""Percent"",""239"",""units "",""0"",""v29816886"",""3.1.1.1.1.2"",""19"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Watching television"",""Weekdays"",""About 1 hour"",""Percent"",""239"",""units "",""0"",""v29816887"",""3.1.1.1.1.3"",""22"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Watching television"",""Weekdays"",""About 2 hours"",""Percent"",""239"",""units "",""0"",""v29816888"",""3.1.1.1.1.4"",""21"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Watching television"",""Weekdays"",""About 3 hours"",""Percent"",""239"",""units "",""0"",""v29816889"",""3.1.1.1.1.5"",""14"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Watching television"",""Weekdays"",""About 4 hours"",""Percent"",""239"",""units "",""0"",""v29816890"",""3.1.1.1.1.6"",""9"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Watching television"",""Weekdays"",""About 5 hours"",""Percent"",""239"",""units "",""0"",""v29816891"",""3.1.1.1.1.7"",""5"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Watching television"",""Weekdays"",""About 6 hours"",""Percent"",""239"",""units "",""0"",""v29816892"",""3.1.1.1.1.8"",""2"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Watching television"",""Weekdays"",""About 7 hours or more"",""Percent"",""239"",""units "",""0"",""v29816893"",""3.1.1.1.1.9"",""3"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Watching television"",""Weekend"",""None at all"",""Percent"",""239"",""units "",""0"",""v29816894"",""3.1.1.1.2.1"",""3"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Watching television"",""Weekend"",""About half an hour"",""Percent"",""239"",""units "",""0"",""v29816895"",""3.1.1.1.2.2"",""8"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Watching television"",""Weekend"",""About 1 hour"",""Percent"",""239"",""units "",""0"",""v29816896"",""3.1.1.1.2.3"",""15"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Watching television"",""Weekend"",""About 2 hours"",""Percent"",""239"",""units "",""0"",""v29816897"",""3.1.1.1.2.4"",""18"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Watching television"",""Weekend"",""About 3 hours"",""Percent"",""239"",""units "",""0"",""v29816898"",""3.1.1.1.2.5"",""17"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Watching television"",""Weekend"",""About 4 hours"",""Percent"",""239"",""units "",""0"",""v29816899"",""3.1.1.1.2.6"",""12"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Watching television"",""Weekend"",""About 5 hours"",""Percent"",""239"",""units "",""0"",""v29816900"",""3.1.1.1.2.7"",""9"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Watching television"",""Weekend"",""About 6 hours"",""Percent"",""239"",""units "",""0"",""v29816901"",""3.1.1.1.2.8"",""6"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Watching television"",""Weekend"",""About 7 hours or more"",""Percent"",""239"",""units "",""0"",""v29816902"",""3.1.1.1.2.9"",""13"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Using a computer"",""Weekdays"",""None at all"",""Percent"",""239"",""units "",""0"",""v29816903"",""3.1.1.2.1.1"",""22"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Using a computer"",""Weekdays"",""About half an hour"",""Percent"",""239"",""units "",""0"",""v29816904"",""3.1.1.2.1.2"",""28"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Using a computer"",""Weekdays"",""About 1 hour"",""Percent"",""239"",""units "",""0"",""v29816905"",""3.1.1.2.1.3"",""22"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Using a computer"",""Weekdays"",""About 2 hours"",""Percent"",""239"",""units "",""0"",""v29816906"",""3.1.1.2.1.4"",""14"","""","""","""",""0"""
